Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
D45A61D1E1A7032E2B2B123B1A39A1E86091C07F_1524420743000,04/22/2018 06:12:00 PM +0000,Traffic Hazard,"(30.346039,-97.572294)",30.346039,-97.572294,10326-10344 E US 290 HWY WB,ARCHIVED,04/22/2018 06:30:00 PM +0000
B949F95479E0CB8E73A521EC6135BA1CD766D865_1523865960000,04/16/2018 08:06:00 AM +0000,Traffic Hazard,"(30.314722,-97.662932)",30.314721999999996,-97.662932,6700-7448 Ed Bluestein Blvd Sb,ARCHIVED,04/16/2018 09:10:00 AM +0000
EA0A27268C155F17DC639A67B1AB97CCB5165233_1571919570,10/24/2019 12:19:30 PM +0000,Traffic Hazard,"(30.371393,-97.722835)",30.371392999999998,-97.722835,8816-8998 Research Blvd Sb,ARCHIVED,10/24/2019 01:20:04 PM +0000
8959169251E7394BCF4B9004326F83E266A06BFB_1613436913,02/16/2021 12:55:13 AM +0000,Traffic Hazard,"(30.29402,-97.747201)",30.29402,-97.747201,2800 San Gabriel St,ARCHIVED,02/16/2021 03:00:03 AM +0000
16DA813BD551FF6880E9C1BF6CEB03103EF69DB4_1550783595,02/21/2019 09:13:15 PM +0000,Traffic Hazard,"(30.261016,-97.735779)",30.261015999999998,-97.73577900000001,100-105 N Ih 35 Svrd Nb,ARCHIVED,02/21/2019 09:55:04 PM +0000
91A0461DA8536C97056D3B86390D0BDD472CA52B_1617118961,03/30/2021 03:42:41 PM +0000,Traffic Hazard,"(30.243079,-97.810925)",30.243078999999998,-97.810925,4100-4300 S Mopac Expy Sb,ARCHIVED,03/30/2021 04:05:03 PM +0000
03ED9F0B39F703C2F75D9CE00A84FB210C6FA885_1622951737,06/06/2021 03:55:37 AM +0000,Traffic Hazard,"(30.138631,-97.605441)",30.138631,-97.605441,14200-15924 Fagerquist Rd,ARCHIVED,06/06/2021 04:25:04 AM +0000
0DE1F0466A1DDBB39B3249511CD3FE60BE0D4D6C_1583088315,03/01/2020 06:45:15 PM +0000,Traffic Hazard,"(30.11016,-97.622934)",30.110159999999997,-97.622934,15110-15907 FM 812 RD,ARCHIVED,03/01/2020 07:10:03 PM +0000
02177BB470EC8D951EC376A1EDB9D76AC9B82BFE_1618160724,04/11/2021 05:05:24 PM +0000,Traffic Hazard,"(30.462058,-97.816351)",30.462058000000003,-97.816351,12201-12219 N Fm 620 Rd,ARCHIVED,04/11/2021 05:20:03 PM +0000
E25D00E0E79F3B1D2784A618DAB807A30DC7D0D7_1623633588,06/14/2021 01:19:48 AM +0000,COLLISION,"(30.458143,-97.677299)",30.458143,-97.677299,2214-2608 Grand Avenue Pkwy,ARCHIVED,06/14/2021 02:25:04 AM +0000
88C79C1DC9D13B2B592B9057730DF504809A43C1_1509933579000,11/06/2017 01:59:00 AM +0000,Traffic Hazard,"(30.225619,-97.890386)",30.225619000000002,-97.89038599999999,8200 FM 1826 RD,ARCHIVED,11/06/2017 02:05:00 AM +0000
FA59FADCBF0CEF35D5DFDA0B2B7308474E16F44E_1600525821,09/19/2020 02:30:21 PM +0000,Traffic Hazard,"(30.064871,-97.677477)",30.064871000000004,-97.677477,9400-9515 Bock Rd,ARCHIVED,09/19/2020 03:30:04 PM +0000
780E202B137A715C8D1B159E4E1540323203CDD8_1647378415,03/15/2022 09:06:55 PM +0000,COLLISION,"(30.288194,-97.576591)",30.288194,-97.57659100000001,N Fm 973 Rd & N Sh 130 Svrd Sb,ARCHIVED,03/15/2022 09:55:03 PM +0000
DA5EB7821DBF976B4784D1D020866EBE07542FC0_1582915074,02/28/2020 06:37:54 PM +0000,Traffic Hazard,"(30.39196,-97.910124)",30.391959999999997,-97.910124,4322-4345 N FM 620 RD,ARCHIVED,02/28/2020 06:50:03 PM +0000
B9B31B56D8B82C95ACF0F300853D587C81B0EBC0_1515700051000,01/11/2018 07:47:00 PM +0000,Traffic Hazard,"(30.421865,-97.747248)",30.421865000000004,-97.747248,0 Research Nb To Riata Trac Ramp,ARCHIVED,01/12/2018 02:05:00 AM +0000
9A3785795B4105ED5FDD249A33CE12BB7B6EE664_1590677789,05/28/2020 02:56:29 PM +0000,Traffic Hazard,"(30.430524,-97.724773)",30.430524,-97.724773,4900 W Parmer Ln,ARCHIVED,05/28/2020 03:15:04 PM +0000
9F06007D02B7DA59126A69422F135FCEE39E7652_1628637714,08/10/2021 11:21:54 PM +0000,COLLISION,"(30.392004,-97.77851)",30.392003999999996,-97.77851,6411 SPICEWOOD SPRINGS RD,ARCHIVED,08/11/2021 12:40:03 AM +0000
F220B708923B41B9B9EE5F9CDBB561FBE9C1A20B_1577305391,12/25/2019 08:23:11 PM +0000,Traffic Hazard,"(30.335301,-97.58808)",30.335301,-97.58808,11200-11325 N Sh 130 Nb,ARCHIVED,12/25/2019 10:15:04 PM +0000
474C2648302BEC1C0561BB62F769F3D4D8A1FB90_1626715677,07/19/2021 05:27:57 PM +0000,Traffic Hazard,"(30.46588,-97.581099)",30.46588,-97.581099,2600-blk Kelly Ln,ARCHIVED,07/19/2021 05:35:03 PM +0000
E74F0F1F0934FE0AB10AF864E8EA13C69913A897_1516913613000,01/25/2018 08:53:00 PM +0000,Traffic Hazard,"(30.191344,-97.769659)",30.191344,-97.76965899999999,6500 S Ih 35 Nb,ARCHIVED,01/26/2018 03:45:00 AM +0000
ADD97DAEFA483805F4A52716BA886AC2D97841B3,10/07/2017 07:20:00 AM +0000,COLLISION,"(30.456166,-97.6656461)",30.456165999999996,-97.66564609999999,GRAND AVENUE PKWY & N IH 35 SVRD NB,ARCHIVED,05/18/2018 01:00:00 AM +0000
518840ACEE770C7541A96E7202F3FF586F7B704D_1578933051,01/13/2020 04:30:51 PM +0000,COLLISION,"(30.186348,-97.609481)",30.186348,-97.609481,4500-4542 E SH 71 EB,ARCHIVED,01/13/2020 04:45:05 PM +0000
C1D262A03495880AB003DDE6D06A10E9E84013F5_1537140009,09/16/2018 11:20:09 PM +0000,COLLISION,"(30.397974,-97.857059)",30.397973999999998,-97.85705899999999,6600-BLK N FM 620 RD,ARCHIVED,09/17/2018 12:15:04 AM +0000
